,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Frontend разработчик / Верстальщик,80000.0,130000.0,RUR,Москва,2022-12-15T03:09:13+0300
1,Frontend developer,,,,Казань,2022-12-15T02:48:49+0300
2,Фронтенд-разработчик,90000.0,,RUR,Кемерово,2022-12-15T05:12:41+0300
3,Бизнес-аналитик,100000.0,,RUR,Барнаул,2022-12-15T05:15:30+0300
4,Бизнес-аналитик,1500.0,2500.0,USD,Тбилиси,2022-12-15T01:16:05+0300
5,Механик,175000.0,,RUR,Владивосток,2022-12-15T02:20:48+0300
6,Механик по автотранспорту (Иркутская область),140000.0,140000.0,RUR,Иркутск,2022-12-15T05:31:15+0300
7,Графический дизайнер,35000.0,,RUR,Гатчина,2022-12-15T00:46:47+0300
8,Специалист-аналитик Молодежного центра,80000.0,,RUR,Владивосток,2022-12-15T03:44:56+0300
9,Менеджер проектов/IT Project Manager,100000.0,,RUR,Барнаул,2022-12-15T05:12:38+0300
10,Оператор станков с ПУ,60000.0,,RUR,Красноярск,2022-12-15T05:05:42+0300
11,Полиграфический дизайнер,,,,Иркутск,2022-12-15T04:32:24+0300
12,Наладчик КИПиА,40000.0,80000.0,RUR,Нальчик,2022-12-15T01:16:07+0300
13,Senior/Middle Frontend-разработчик,180000.0,280000.0,RUR,Тверь,2022-12-15T05:58:06+0300
14,Продуктовый аналитик r_keeper,,,,Москва,2022-12-15T01:08:56+0300
15,Системный администратор,60000.0,100000.0,RUR,Долгопрудный,2022-12-15T03:12:06+0300
16,Специалист по информационной безопасности,45000.0,,RUR,Барнаул,2022-12-15T05:35:14+0300
17,Оператор лазерного станка,60000.0,,RUR,Санкт-Петербург,2022-12-15T00:29:56+0300
18,Системный администратор,35000.0,35000.0,RUR,Улан-Удэ,2022-12-15T03:38:42+0300
19,Системный администратор,35000.0,45000.0,RUR,Екатеринбург,2022-12-15T05:54:50+0300
20,"Менеджер IT, EdTech",100000.0,,RUR,Долгопрудный,2022-12-15T03:24:20+0300
21,Копирайтер Молодежного Центра,,45000.0,RUR,Владивосток,2022-12-15T04:12:45+0300
22,"Менеджер IT, EdTech",100000.0,,RUR,Москва,2022-12-15T03:24:20+0300
23,Бизнес-аналитик,,,,Москва,2022-12-15T02:43:09+0300
24,Middle-разработчик Python,,,,Москва,2022-12-15T01:47:12+0300
25,Токарь,75000.0,,RUR,Новосибирск,2022-12-15T04:37:33+0300
26,Технический редактор,,,,Новосибирск,2022-12-15T05:15:08+0300
27,Сервисный инженер-механик,70000.0,,RUR,Мыски,2022-12-15T05:16:23+0300
28,Инженер-механик (ОСУ и АСУ ТП),240000.0,240000.0,RUR,Самара,2022-12-15T03:01:28+0300
29,QA Engineer NGFW,,,,Санкт-Петербург,2022-12-15T05:05:38+0300
30,Механик автоколонны,75000.0,,RUR,Новокузнецк,2022-12-15T05:58:58+0300
31,Инженер-программист,,,,Бийск,2022-12-15T04:42:07+0300
32,Full Stack PHP Developer,120000.0,,RUR,Калининград,2022-12-15T05:48:38+0300
33,Инженер-механик (ОСУ и АСУ ТП),240000.0,240000.0,RUR,Новосибирск,2022-12-15T03:01:28+0300
34,Шлифовальщик по дереву,45000.0,55000.0,RUR,Красногорск,2022-12-15T00:29:56+0300
35,Механик,57557.0,57557.0,RUR,Бийск,2022-12-15T04:54:49+0300
36,Токарь,50000.0,60000.0,RUR,Хабаровск,2022-12-15T05:09:15+0300
37,Ведущий инженер проекта (конструктор-электрика),,,,Нижний Новгород,2022-12-15T02:54:13+0300
38,Сервисный инженер-механик,70000.0,,RUR,Новокузнецк,2022-12-15T05:16:23+0300
39,Специалист 1 линии технической поддержки,,,,Иркутск,2022-12-15T04:38:04+0300
40,Ведущий инженер проекта (конструктор-электрика),,,,Владивосток,2022-12-15T02:54:13+0300
41,Специалист отдела поддержки IT инфраструктуры,,,,Яшкино,2022-12-15T01:59:47+0300
42,Разработчик Oracle (стрим Витрины ПИК),,,,Москва,2022-12-15T01:29:47+0300
43,Специалист технической поддержки,,,,Шарыпово,2022-12-15T02:00:09+0300
44,"Оператор/оператор-технолог токарного, фрезерного станков с ЧПУ",60000.0,75000.0,RUR,Новосибирск,2022-12-15T05:40:19+0300
45,Сервисный инженер-механик,70000.0,,RUR,Киселевск,2022-12-15T05:16:23+0300
46,Продуктолог IT / Product manager,80000.0,100000.0,RUR,Владивосток,2022-12-15T01:48:04+0300
